,Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9],Image
73,Black Mouth Cur,United States,,,,,,,Scenthound,
74,Bloodhound,"Belgium, France",Group 06 Section 01 #084,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
75,Blue Heeler,Australia,See Australian Cattle Dog,,,,,,,
76,Blue Lacy,United States,,,,,,,,
77,Blue Paul Terrier,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
78,Blue Picardy Spaniel,France,Group 07 Section 01 #106,,,Group 01 - Sporting Dogs,,,Gun Dog,
79,Bluetick Coonhound,United States,,Hound Group,Group 04 (Hounds),,,Hound,Scenthound,
80,Boerboel,South Africa,,Working Group,,,,,Guardian Dog,
81,Bohemian Shepherd,Czech Republic,,,,,,,,
82,Bolognese,Italy,Group 09 Section 01 #196,FSS,,,Toy,Toy,Companion Dog,
83,Border Collie,"United Kingdom (Scotland, England, Wales)",Group 01 Section 01 #297,Herding Group,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",Pastoral,Working,Herding Dog,
84,Border Terrier,"United Kingdom (Scotland, England)",Group 03 Section 01 #010,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
85,Borzoi,Russia,Group 10 Section 01 #193,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
86,Bosnian Coarse-haired Hound,Bosnia and Herzegovina,Group 06 Section 01 #155,,,,,,Scenthound,
87,Boston Terrier,United States,Group 09 Section 11 #140,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
88,Bouvier des Ardennes,Belgium,Group 01 Section 02 #171,,,,,,Herding Dog,
89,Bouvier des Flandres,Belgium,Group 01 Section 02 #191,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Working,Working,Herding Dog,
90,Boxer,Germany,Group 02 Section 02 #144,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
91,Boykin Spaniel,United States,,Sporting Group,,,,,Gun Dog,
92,Bracco Italiano,Italy,Group 07 Section 01 #202,FSS,Group 03 (Gundogs),,Gundog,Gundog,Gun Dog,
93,Braque d'Auvergne,France,Group 07 Section 01 #180,,,"Group 01 - Sporting Dogs, listed",Gundog,,Gun Dog,
94,Braque de l'Ariege,France,Group 07 Section 01 #177,,,,,,Gun Dog,
95,Braque du Bourbonnais,France,Group 07 Section 01 #179,FSS,,,,,Gun Dog,
96,Braque du Puy,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
97,Braque Francais,France,"Group 07 Section 01 #133 (Gascogne), #134 (Pyrenees)",FSS (Pyrenean),,Group 01 - Sporting Dogs,,,"Gun Dog (Grande Taille, Petite Taille)",
98,Braque Saint-Germain,France,Group 07 Section 01 #115,,,,,,Gun Dog,
99,Brazilian Dogo,Brazil,,,,,,,,
100,Brazilian Terrier,Brazil,Group 03 Section 01 #341,,,,,,,
101,Briard,France,Group 01 Section 01 #113,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
102,Briquet Griffon Vendéen,France,Group 06 Section 01 #019,,,,,,Scenthound,
103,Brittany,France,Group 07 Section 01 #095,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
104,Broholmer,Denmark,Group 02 Section 02 #315,FSS,,,,,Guardian Dog,
105,Bruno Jura Hound,"Switzerland, France",,,,,,,,
106,Brussels Griffon,Belgium,"Group 09 Section 03 #080, 081, 082",Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
107,Bucovina Shepherd Dog,Romania,Group 02 Section 02 #357 Provisional,,,,,,,
108,Bull and Terrier,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
109,Bull Terrier,United Kingdom (England),Group 03 Section 03 #011,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
110,Bulldog,United Kingdom (England),Group 02 Section 02 #149,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
111,Bullenbeisser,Germany,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
112,Bullmastiff,United Kingdom (England),Group 02 Section 02 #157,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
113,Bully Kutta,"Pakistan, India",,,,,,,,
114,Burgos Pointer,Spain,Group 07 Section 01 #090,,,,,,Gun Dog,
115,Cairn Terrier,United Kingdom (Scotland),Group 03 Section 02 #004,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
116,Canaan Dog,Middle East (Lebanon - Israel),Group 05 Section 06 #273,Herding Group,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Sighthound and Pariah,
117,Canadian Eskimo Dog,Canada,Group 05 Section 01 #211,,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed,
118,Cane Corso,Italy,Group 02 Section 02 #343,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",,Utility,Guardian Dog,
119,Cantabrian Water Dog,Spain,,,,,,,,
120,Cão da Serra de Aires,Portugal,Group 01 Section 01 #093,FSS,,"Group 07 - Herding Dogs, listed",,,Herding Dog,
121,Cão de Castro Laboreiro,Portugal,Group 02 Section 02 #170,,,,,,Guardian Dog,
122,Cão de Gado Transmontano,Portugal,,,,,,,,
123,Cão Fila de São Miguel,Portugal,Group 02 Section 02 #340,,,,,,,
124,Carolina Dog,United States,,FSS,,,,,Sighthound and Pariah,
125,Carpathian Shepherd Dog,Romania,Group 01 Section 01 #350,,,,,,Herding Dog,
126,Catalan Sheepdog,Spain,Group 01 Section 01 #087,,,,Pastoral,,Herding Dog,
127,Caucasian Shepherd Dog,"Georgia, Armenia, Azerbaijan",Group 02 Section 02 #328,FSS,,,,,Guardian Dog,
128,Cavalier King Charles Spaniel,United Kingdom (England),Group 09 Section 07 #136,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
129,Central Asian Shepherd Dog,Russia,Group 02 Section 02 #335,FSS,Group 06 (Utility),,,Utility,Guardian Dog,
130,Cesky Fousek,Czech Republic,Group 07 Section 01 #245,,,,,Gundog,Gun Dog,
131,Cesky Terrier,Czech Republic,Group 03 Section 02 #246,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
132,Chesapeake Bay Retriever,United States,Group 08 Section 01 #263,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
133,Chien Français Blanc et Noir,France,Group 06 Section 01 #220,,,,,,Scenthound,
134,Chien Français Blanc et Orange,France,Group 06 Section 01 #316,,,,,,Scenthound,
135,Chien Français Tricolore,France,Group 06 Section 01 #219,,,,,,Scenthound,
136,Chien-gris,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
137,Chihuahua,Mexico,Group 09 Section 06 #218,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
138,Chilean Terrier,Chile,,,,,,,,
139,Chinese Chongqing Dog,China,,,,,,,,
140,Chinese Crested Dog,China,Group 09 Section 04 #288,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
141,Chinese Imperial Dog,China,,,,,,,,
142,Chinook,United States,,Working Group,,,,,Northern Breed,
143,Chippiparai,India,,,,,,,,
144,Chiribaya Dog,Peru,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
145,Chow Chow,China,Group 05 Section 05 #205,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed,
146,Cierny Sery,Slovakia,,,,,,,,
147,Cirneco dell'Etna,Italy,Group 05 Section 07 #199,Hound Group,,,Hound,,Sighthound and Pariah,
